2 p.m.,quatorze heures
I borrowed,j'ai emprunté
I can,je peux
I can't find,je ne trouve pas
I don't eat,je ne mange pas
I don't have,je n'ai pas
I don't want to,je ne veux pas
I emptied,j'ai vidé
I exercise,je fais du sport
I feel like,j'ai l'impression
I feel,je me sens
I have to,je dois
I have,j'ai
I hope,j'espère
I know how to do,je sais faire
I know,je connais
I lied,j'ai menti
I like her,je l'aime
I liked her,je l'aimais bien
I love you,je t'aime
I love,j'adore
I love,j'aime
I need,j'ai besoin de
I ordered it,je l'ai commandé
I pay,je paye
I remember,je me souviens
I want,je veux
I watered,j'ai arrosé
I would like,j'aimerais
I would like,je voudrais
I write,j'écris
I'm ashamed,j'ai honte
I'm bored,je m'ennuie
I'm cold,j'ai froid
I'm good,ça va
I'm hot,j'ai chaud
I'm hungry,j'ai faim
I'm not,je ne suis pas
I'm OK,ça va bien
I'm sick of,j'en ai marre de
I'm waiting for,j'attends
ice cream,glace
ice cream,glaces
idea,idée
in fact,en fait
in front of,devant
in love,amoureux
in order to,pour
in,dans
in,en
incredible,incroyable
inside,à lintérieur
inside,lintérieur
interesting,intéressant
interesting,intéressante
interesting,intéressantes
is meeting,rencontre
is right,a raison
is something wrong,ça ne va pas
it costs,ça coûte
it doesn't work,il ne marche pas
it had,il y avait
it is dark,il fait nuit
it is not,il n'est pas
it is,il est
it isn't,ce n'est pas
it takes,ça prend
it,il
it'll be OK,ça va aller
it's art,c'est de l'art
it's dark,il fait nuit
it's here,c'est ici
it's hot,il fait chaud
it's OK,ça va
it's over,c'est fini
it's time,c'est l'heure
it's,c'est
jacket,veste
January,janvier
job,métier
job,travail
joke,blague
journalist,journaliste
juice,jus
keys,clés
kilogram,kilo
kind,genre
kind,type
kitchen,cuisine
knocks,frappe
know,sais
knows,connaît
last name,nom de famille
last,dernière
late,en retard
late,tard
later,plus tard
leather,cuir
leaves,part
left,à gauche
left,gauche
less,moins
let's go in,entrons
let's go,allons
let's prepare,préparons
letter,lettre
library,bibliothèque
life,vie
lifeguard,maître-nageuse
light,lumière
like,comme
listen,écoute
live,habite
living room,salon
look at,regarde
look, regardez
look,regarde
looks at,regarde
lost,perdu
love,adores
love,amour
love,l'amour
lovely,joli
lunch,déjeuner
lying,mentir
man,homme
map,plan
March,mars
married,mariée
math,maths
me,moi
meal,repas
meat,viande
mechanic,mécanicienne
meeting,réunion
memories,souvenirs
Mexican,mexicain
Mexican,mexicains
milk,lait
mix,mélangent
mom,maman
money,argent
monkeys,singes
more,plus
more,plus de
mother,mère
movie,film
museum,musee
museum,musée
must know,dois connaître
my house,chez moi
my name is,je m'appelle
my place,chez moi
my,ma
my,mes
my,mon
myself,moi-même
name,nom
name,prénom
neighbor,voisin
neighbors,voisins
never,jamais
new,nouveau
new,nouvel
new,nouvelle
newspaper,journal
next door,d'à côté
next to the,à côté des
next to,à côté de
next,prochain
nice to meet you,enchanté
nice to meet you,enchantée
nice,gentil
nice,gentille
nice,jolie
nice,sympa
noise,bruit
noon,midi
north,nord
nose,nez
not now,pas maintenant
not,pas
notebook,cahier
nothing,rien
now,maintenant
of course not,mais non
of course,bien sûr
of,de
office,bureau
often,souvent
OK,d'accord
okay,d'accord
old,vieille
old,vieilles
older than,plus vieux que
older,plus vieille
on a plane,dans un avion
on a trip,en voyage
on the ground,par terre
on TV,à la télé
on weekends,le week-end
on, sur
once,une fois
one hundred,cent
one of the two,un des deux
one,une
only,juste
open it,ouvre-le
open,ouvre
opens,ouvre
or,ou
other,autres
others,autres
our,notre
outside,dehors
painting,tableau
pair of pants,pantalon
pants,pantalon
park,parc
parrot,perroquet
party,fête
party,soirée
passport,passeport
pear,poire
people,gens
people,personnes
pepper,poivre
perfect,parfait
perfect,parfaite
pet,animal de compagnie
phew,ouf
physics,physique
picks up,prend
picture,photo
piece of advice,conseil
pink,rose
plane ticket,billet d'avion
plane,avion
plate,assiette
player,joueur
pleasant,agréable
please,"s'il te plaît"
please,s'il vous plaît
poor,pauvre
potatoes,pommes de terre
practice,répétition
pretty,joli
professors,professeurs
published,publiée
purple,violet
puts on,met
puts,met
quickly,vite
racket,raquette
rarely,rarement
read,lis
ready,prêt
ready,prête
ready,prêts
really not,vraiment pas
really,tellement
really,vraiment
recipe,recette
recycling,recyclage
red,rouge
red,rouges
reports,rapports
responsible,responsable
rice,riz
rich,riche
river,rivière
road,route
roller coaster,montagnes russes
roof,toit
room,chambre
room,pièce
roommate,colocataire
Russian,russe
sad,triste
salad,salade
salt,sel
same,même
same,mêmes
Saturday,samedi
school,école
seat,place
seats,places
see you on Friday, à vendredi
seems,a l'air
sees, voit
send,envoie
several,plusieurs
she is,elle est
she left you,elle t'a quitté
she loved me,elle m'aimait
she plays,elle joue
she sees,elle voit
she,elle
shhh,chut
shirt,chemise
shoes,chaussures
shop,magasin
show,émission
shower,douche
shy,timide
sick,malade
silver,argent
since,depuis
singer,chanteur
single,célibataire
sir,monsieur
sister,sœur
sit down,asseyez-vous
sit down,assieds-toi
small, petit
small,petite
smart,intelligente
smiles,sourit
sneezes,éternue
so happy,trop content
so,alors
so,donc
so,trop
soccer,football
social media,réseaux sociaux
some,des
some,un peu
somebody,quelqu'un
someone,quelqu'un
something,quelque chose
son,fils
song,chanson
soon,bientôt
sorry,désolé
sorry,désolée
sorry,pardon
south,sud 
space,place
Spanish,espagnol
Spanish,espagnols
speak,parles
spend,dépenser
spider,araignée
square,place
stands up,se lève
starts doing,commence à faire
starts doing,commence à faire
starts,commence
still,encore
stomach,estomac
stop drinking,arrête de boire
stop,arrête
store,magasin
street,rue
streets,rues
student,étudiant
student,étudiante
students,étudiantes
study,étudies
subway,métro
sugar,sucre
suitcase,valise
sun,soleil
sunglasses,lunettes de soleil
supermarket,supermarché
sweater,pull
swimming pool, piscine
swimsuit, maillot de bain
take,prends
take,prenez
take,prennent
takes,prend
tall,grand
tall,grande
taste,goût
tastes,goûte
tea,thé
teacher,professeur
teachers,professeurs
team,équipe
thank you,merci
thanks,merci
that big,aussi grande
that one,celui-là
that smells,ça sent
that,ça
that,cette
that,que
that's why,c'est pour ça
the best,le meilleur
the dishes,la vaisselle
the groom,le marié
the last time,la dernière fois
the most,le plus
the next one,la prochaine
the weather's nice,il fait beau
the,l'
the,la
the,le
their,leur
there are no more,il n'y a plus de
there are,il y a
there is,il y a
there was,il y avait
there you are,voilà
there,là
these,ces
they are looking at,ils regardent
they fight,ils se battent
they hear,ils entendent
they live,elles habitent
they look for,elles cherchent
they look,elles regardent
they talk,elles parlent
they work,elles travaillent
thin,mince
thing,chose
things,choses
thirst,soif
thirteen,treize
thirty,trente
this is,c'est
this is,voici
this one,celui-ci
this,ce
this,ceci
this,cette
those are,ce sont
three times a day,trois fois par jour
three,trois
through,par
ticket,billet
tickets,billets
tickets,places
time,fois
time,heure
time,temps
tired,fatigué
tired,fatiguée
to believe,croire
to buy,acheter
to choose,choisir
to clean,nettoyer
to come back,revenir
to come,venir
to cook,cuisiner
to dance,danser
to decorate,faire la décoration
to do,faire
to drive,conduire
to eat,manger
to exercise,faire du sport
to find,trouver
to fish,pêcher
to get out,sortir
to give,donner
to give,offrir
to go home,rentrer
to go,aller
to go,aller
to hear me,m'entendre
to help me,m'aider
to her place,chez elle
to invite,inviter
to know,savoir
to learn,apprendre
to leave,partir
to live,vivre
to look at,regarder
to marry,se marier avec
to move,déménager
to play sports,faire du sport
to play,jouer
to propose,demander en mariage
to put it on,le mettre
to rain,pleuvoir
to read,lire
to run,courir
to see her,la voir
to show,montrer
to sleep,dormir
to smoke,fumer
to snow,neiger
to speak,parler
to spend,passer
to stay,rester
to study,étudier
to swim,nager
to take,prendre
to talk about,parler de
to the doctor's,chez le médecin
to the,au
to turn off,éteindre
to walk,marcher
to wash,laver
to wear,porter
to win,gagner
to write,écrire
to,à
to,pour
today,aujourd'hui
together,ensemble
tomato,tomate
tomorrow,demain
tonight,ce soir
too late,trop tard
too much,trop de
too,aussi
too,trop
toothbrush,brosse à dents
towards,vers
towel,serviette
town,ville
toy,jouet
train station,gare
trash can,poubelle
trip,voyage
trunk,coffre
Tuesday,mardi
TV,télé
twenty,vingt
two,deux
umbrella,parapluie
unfortunately,malheureusement
university,université
us,nous
usually,d'habitude
vacation,vacances
vegetarian,végétarien
very expensive,très cher
very well,très bien
very,très
video game,jeu vidéo
video games,jeux vidéo
view,vue
wait,attendez
wait,attends
waiter,serveur
wakes up,se réveille
walks,marche
wall,mur
water,eau
waves at her,lui fait signe
we are going,nous allons
we are going,on va
we are,nous sommes
we eat,nous mangeons
we have,nous avons
we must,il faut
we need,il nous faut
we,nous
wedding,mariage
week,semaine
weeks,semaines
weird,bizarre
welcome,bienvenue
welcome,bienvenus
well,bien
well,eh bien
what do you do,vous faites quoi
what do you mean,comment ça
what is it that,qu'est-ce que
what,quel
what,quelle
what,quoi
what's that,c'est quoi ça
what's wrong,qu'est-ce qu'il y a
what's wrong,qu'est-ce qu'il y a
when,quand
where is,où est
where,où
which,quelle
white,blanc
white,blanches
white,blancs
who are you,qui êtes-vous
who,qui
why,pourquoi
wife,femme
windows,fenêtres
wine,vin
with,avec
without,sans
woman,femme
work,travail
work,travaille
world,monde
worried,inquiet
wristwatch,montre
year, an
year,année
yes,oui
yesterday,hier
you are writing,tu écris
you are,tu es
you can,tu peux
you come,tu viens
you don't have to,tu ne dois pas
you draw,tu dessines
you go,tu vas
you hate,tu détestes
you have,tu as
you like,tu aimes bien
you look,tu as l'air
you must go,il faut aller
you must,tu dois
you need,tu as besoin de
you prefer,vous préférez
you rest,tu te reposes
you sit down,tu tassieds
you started,tu as démarré
you take,tu prends
you too,toi aussi
you want,tu veux
you want,vous voulez
you work,tu travailles
you,toi
you,vous
you're OK,ça va
you're right,tu as raison
you're right,vous avez raison
you're welcome,de rien
young,jeune
young,jeunes
your,ta
your,tes
your,ton
your,vos
your,votre
care,soin
knee,genou
online,en ligne
gloves,gants
drink,verre
date,rencard
to strengthen,renforcer
thirty years old,trente ans
she starts,elle commence
to show you,te montrer
check,chèque
PIN,code
link,lien
account,compte
free,gratuit
maybe,peut-être
to order,commander
only,seulement
guests,invités
feathers,plumes
longer,plus longue
to look like,ressembler
closed,fermés
to enjoy,apprécier
spills,renverse
ten,dix
to help,aider
